proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash,market_id,segment,whale_threshold,day
0x5dacc5f7b7089af295e01f9d36b304fa77c314d3,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,4353.4,0.001,1732522592,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,Olezhik,Devoted-Interloper,,,,0x34495333c7bf7f598f0e5b699de0f67ff131a2aac2780c86929fe85155e52a37,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,18
0x54b15905d757bf15d7704122638364837cd620f7,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,4433.4,0.001,1732522230,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,yescat,Suspicious-Buckle,,https://polymarket-upload.s3.us-east-2.amazonaws.com/48_78623203-4d91-404a-a323-c93a24880c1b_1738920478385.webp,,0x3c5dd3cef4fefe05cdae83c5162d1f3710ba614eaa5b068ea72260bb49b7e5cb,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,18
0x37dc2b3d6145c372bfb7ab1b8b6b2d6cca9111ed,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,2860.961111,0.0087383222036393,1732352598,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,Samamca,Important-Rainmaker,,,,0xcaa93e9b6b846ec85267e6dda110f673c7c46a4a6adb25e94475effdecad410e,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,16
0xc930ddcfcdd9b316e06165bacc1f4839141c9ed4,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,4600.33,0.001,1731994294,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,Comebackkid,Mature-Hawk,I have made mistakes I have been hard hit I say so what so what if I did I am the clear eyed I am the comeback kid Start it all up start it over again I will get it all back polymarket scammers,https://polymarket-upload.s3.us-east-2.amazonaws.com/trump_chicken_dancing_1ca665f9-52ff-4bf0-81a3-ed23ed19d41d_1735662183232.gif,,0x7a1a4d18dea2a8c83253ab190d3138ed53977975ec1b85f737cbd99cda58f31f,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,12
0xcfb183622c7922092bccef457ef801307de1ff1b,SELL,79628252282783580515897244839711123739448653545352582596191633232282734475285,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,5071.97,0.998,1731828410,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,No,1,dontfwithme,Unused-Estate,,,,0xf83da57daf96a1c3d2153219c8df05337b07fdbbad9cd2faecfef8cd84fb08f8,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,10
0x5d4d3800cb347e766c7ada814cf0eddbeaf24a91,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,3000.0,0.001,1731693264,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,carp,Direct-Voyage,,https://polymarket-upload.s3.us-east-2.amazonaws.com/carp_620c37c5-cfe2-4849-836d-51be2a8c2a01_1733452758338.png,,0x2e646e348fe5305de9127a5b0d288d64b883c83178058e4429bc8ad397456def,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,8
0xbdf4d3139ad3dae25b928eec72ebbe0c26f68fc2,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,2956.96,0.0010145554894215,1731653055,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,ends2000,Horrible-Clutch,,https://polymarket-upload.s3.us-east-2.amazonaws.com/71_ae5c1457-ded5-461c-a03e-8882411c3dd7_1742037802682.png,,0xc41712cd38995f5ce6780e5f7a90bfd80b73615de6c9d8cff3fa05768e4035dc,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,8
0x2b098416d4641185cddb392f30c6a19216103277,BUY,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,2935.44,0.0010219932957239,1731652795,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,continue0007000,Insubstantial-Fly,,https://polymarket-upload.s3.us-east-2.amazonaws.com/70_61b86d54-55b7-4c1a-bc76-2aa42e8e64f8_1741963060425.webp,,0xaa4885b8a237121e4e91895e5973c729ca5464c4d8d2f5cdb67cf5e0af334897,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,8
0xae0654665cc3dcb06f1cd3c1d6a2e4f20f4ad932,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,4490.16,0.001,1731607873,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,teslafan,Cultivated-Charlatan,,,,0xce4f206e3d2280886e407b9960d0cf5a229536fee2a9ece63f7df5abe8aacbf6,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,7
0xddc4c29d9ce9a0c66362815c6607018d177746b1,SELL,53785503053349408740015278664817228692791053009267262509922206517603925236236,0xd6d290cd639a04f6b829d5cd6a3d7dcfb06268c552c0da23ab5453273584976f,4898.21,0.001,1731604567,Will Gallego win Arizona Senate election by 0-1%?,will-gallego-win-arizona-senate-election-by-0-1,https://polymarket-upload.s3.us-east-2.amazonaws.com/ruben+gallego.png,arizona-senate-election-margin-of-victory,Yes,0,zero96,Sweet-Visual,,,,0x1ef830bb7910c3d4d766debd0ca387113979ae66ecf1cc492de6547b0da9479e,will-gallego-win-arizona-senate-election-by-0-1_trades,Whale,2705.8373175814654,7
