market_id,event_slug,market_slug,event_title,market_title,small_count,medium_count,large_count,whale_count,total_trades,small_volume,medium_volume,large_volume,whale_volume,small_volume_share,medium_volume_share,large_volume_share,whale_volume_share,small_max,medium_max,large_max,whale_threshold
will-brad-landers-vote-share-be-between-12-and-15-in-the-first-round-of-the-nyc-democratic-mayoral-primary_trades,brad-lander-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-brad-landers-vote-share-be-between-12-and-15-in-the-first-round-of-the-nyc-democratic-mayoral-primary,Will Brad Lander’s vote share be between 12% and 15% in the first round of the NYC Democratic mayoral primary?,Will Brad Lander’s vote share be between 12% and 15% in the first round of the NYC Democratic mayoral primary?,72,70,77,3,222,542.708734,1583.906307,9534.321763,4175.42,0.03426979706992462,0.10001708894307884,0.6020527246892915,0.263660389297705,14.0,36.0,422.0,444.6456663401589
will-brad-landers-vote-share-be-between-6-and-9-in-the-first-round-of-the-nyc-democratic-mayoral-primary_trades,brad-lander-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-brad-landers-vote-share-be-between-6-and-9-in-the-first-round-of-the-nyc-democratic-mayoral-primary,Will Brad Lander’s vote share be between 6% and 9% in the first round of the NYC Democratic mayoral primary?,Will Brad Lander’s vote share be between 6% and 9% in the first round of the NYC Democratic mayoral primary?,54,54,56,8,172,76.18699999999998,235.548075,2807.6967489999997,2968.128861,0.012515193513836812,0.03869334322701705,0.4612186874651254,0.4875727757940207,1.86,8.16,179.32,202.1598833333976
will-brad-landers-vote-share-be-between-9-and-12-in-the-first-round-of-the-nyc-democratic-mayoral-primary_trades,brad-lander-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-brad-landers-vote-share-be-between-9-and-12-in-the-first-round-of-the-nyc-democratic-mayoral-primary,Will Brad Lander’s vote share be between 9% and 12% in the first round of the NYC Democratic mayoral primary?,Will Brad Lander’s vote share be between 9% and 12% in the first round of the NYC Democratic mayoral primary?,105,85,130,9,329,76.080606,1159.6674159999998,14533.237872,7411.296162,0.0032821259817374503,0.05002818400563123,0.626965532036665,0.31972415797596626,3.284209,31.57894,365.45,394.86186093676133
will-brad-landers-vote-share-be-greater-than-15-in-the-first-round-of-the-nyc-democratic-mayoral-primary_trades,brad-lander-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-brad-landers-vote-share-be-greater-than-15-in-the-first-round-of-the-nyc-democratic-mayoral-primary,Will Brad Lander’s vote share be greater than 15% in the first round of the NYC Democratic mayoral primary?,Will Brad Lander’s vote share be greater than 15% in the first round of the NYC Democratic mayoral primary?,32,30,37,5,104,145.47087199999999,349.19149999999996,2493.8449689999998,2290.4300000000003,0.027556847638665692,0.06614806682548195,0.4724142015536001,0.4338808839822523,7.0,19.0,212.99,255.8735866578685
will-brad-landers-vote-share-be-less-than-6-in-the-first-round-of-the-nyc-democratic-mayoral-primary_trades,brad-lander-1st-round-of-vote-in-nyc-dem-mayoral-primary,will-brad-landers-vote-share-be-less-than-6-in-the-first-round-of-the-nyc-democratic-mayoral-primary,Will Brad Lander’s vote share be less than 6% in the first round of the NYC Democratic mayoral primary?,Will Brad Lander’s vote share be less than 6% in the first round of the NYC Democratic mayoral primary?,49,49,51,6,155,74.8226,226.810152,1415.4099590000003,1625.005,0.02238825009999984,0.06786562359761596,0.42351578475116514,0.48623034155121914,1.941,8.016,101.0,135.49031042122255
will-abakar-ahamat-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-abakar-ahamat-win-the-cameroon-presidential-election,Will Abakar Ahamat win the Cameroon Presidential Election?,Will Abakar Ahamat win the Cameroon Presidential Election?,76,106,95,13,290,348.595125,2202.428433,27016.208174999996,27177.835111,0.00614317938788117,0.038812685498367264,0.4760979178907529,0.4789462172229986,9.66,47.11,1012.99,1230.632183120293
will-akere-muna-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-akere-muna-win-the-cameroon-presidential-election,Will Akere Muna win the Cameroon Presidential Election?,Will Akere Muna win the Cameroon Presidential Election?,64,70,70,7,211,355.73733200000004,1249.587243,10496.358076,10774.240833,0.015550730979180437,0.05462455947948912,0.4588386599273869,0.4709860496139435,9.99,31.0,620.0,712.0508978743861
will-bello-bouba-magari-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-bello-bouba-magari-win-the-cameroon-presidential-election,Will Bello Bouba Maïgari win the Cameroon Presidential Election?,Will Bello Bouba Maïgari win the Cameroon Presidential Election?,88,84,94,5,271,606.663279,2423.608022999999,13262.146776,10229.06,0.022874414360157292,0.09138284132853143,0.5000530791306524,0.38568966518065867,10.721,48.82,696.227646,809.4607320220244
will-cabral-libii-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-cabral-libii-win-the-cameroon-presidential-election,Will Cabral Libii win the Cameroon Presidential Election?,Will Cabral Libii win the Cameroon Presidential Election?,400,400,412,16,1228,13734.549375999999,51280.023087,87020.206962,21836.211303000004,0.07899275962305885,0.29493144815181593,0.500487209497371,0.12558858272775414,117.0,175.8792,516.0,518.5028955049852
will-chris-fomunyoh-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-chris-fomunyoh-win-the-cameroon-presidential-election,Will Chris Fomunyoh win the Cameroon Presidential Election?,Will Chris Fomunyoh win the Cameroon Presidential Election?,235,0,514,25,774,7906.407129000001,0.0,76748.29327699999,21796.396495,0.0742726694150742,0.0,0.7209723103969164,0.20475502018800945,125.86,,400.0,449.0708435944667
will-eric-essono-tsimi-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-eric-essono-tsimi-win-the-cameroon-presidential-election,Will Eric Essono Tsimi win the Cameroon Presidential Election?,Will Eric Essono Tsimi win the Cameroon Presidential Election?,247,354,312,18,931,5237.372381000001,53874.46,85587.367948,19857.436543999997,0.031827171972662834,0.32739159613221025,0.5201088790727646,0.12067235282236222,149.18,178.0,496.0,523.3574705563819
